Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 6, 'n_head': 3, 'n_kv_head': 3, 'n_embd': 384, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 3,145,728
  value_embeds            : 9,437,184
  lm_head                 : 3,145,728
  transformer_matrices    : 10,617,120
  scalars                 : 12
  total                   : 26,345,772
Estimated FLOPs per token: 1.203258e+08
Scaling AdamW LRs by 1/sqrt(384/768) = 1.414214
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011034 | lrm: 1.00 | dt: 6711ms | tok/sec: 4,882 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.919419 | lrm: 1.00 | dt: 145ms | tok/sec: 225,916 | mfu: 2.7% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.702668 | lrm: 1.00 | dt: 136ms | tok/sec: 241,210 | mfu: 2.9% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.407941 | lrm: 1.00 | dt: 132ms | tok/sec: 248,569 | mfu: 3.0% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.097349 | lrm: 1.00 | dt: 132ms | tok/sec: 248,326 | mfu: 3.0% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.848892 | lrm: 1.00 | dt: 132ms | tok/sec: 248,468 | mfu: 3.0% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.622506 | lrm: 1.00 | dt: 132ms | tok/sec: 248,265 | mfu: 3.0% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 7.430934 | lrm: 1.00 | dt: 132ms | tok/sec: 248,320 | mfu: 3.0% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 7.267440 | lrm: 1.00 | dt: 132ms | tok/sec: 247,965 | mfu: 3.0% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 7.125974 | lrm: 1.00 | dt: 132ms | tok/sec: 248,306 | mfu: 3.0% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.995863 | lrm: 1.00 | dt: 132ms | tok/sec: 248,190 | mfu: 3.0% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.878137 | lrm: 1.00 | dt: 133ms | tok/sec: 247,091 | mfu: 3.0% | epoch: 1 | remaining: 300s    
step 00012 (0.0%) | loss: 6.779044 | lrm: 1.00 | dt: 133ms | tok/sec: 247,279 | mfu: 3.0% | epoch: 1 | remaining: 300s    
step 00013 (0.1%) | loss: 6.682575 | lrm: 1.00 | dt: 132ms | tok/sec: 247,491 | mfu: 3.0% | epoch: 1 | remaining: 300s    
step 00031 (0.9%) | loss: 5.872753 | lrm: 1.00 | dt: 133ms | tok/sec: 246,707 | mfu: 3.0% | epoch: 1 | remaining: 297s    
step 00032 (0.9%) | loss: 5.847261 | lrm: 1.00 | dt: 133ms | tok/sec: 247,119 | mfu: 3.0% | epoch: 1 | remaining: 297s    
step 00033 (1.0%) | loss: 5.825708 | lrm: 1.00 | dt: 133ms | tok/sec: 246,848 | mfu: 3.0% | epoch: 1 | remaining: 297s    
step 00034 (1.0%) | loss: 5.805372 | lrm: 1.00 | dt: 133ms | tok/sec: 247,260 | mfu: 3.0% | epoch: 1 | remaining: 297s    
step 00035 (1.1%) | loss: 5.786369 | lrm: 1.00 | dt: 133ms | tok/sec: 246,900 | mfu: 3.0% | epoch: 1 | remaining: 297s    
step 00036 (1.1%) | loss: 5.765400 | lrm: 1.00 | dt: 133ms | tok/sec: 246,796 | mfu: 3.0% | epoch: 1 | remaining: 297s    
step 00037 (1.1%) | loss: 5.757109 | lrm: 1.00 | dt: 133ms | tok/sec: 246,782 | mfu: 3.0% | epoch: 1 | remaining: 296s    
step 00038 (1.2%) | loss: 5.739400 | lrm: 1.00 | dt: 132ms | tok/sec: 247,462 | mfu: 3.0% | epoch: 1 | remaining: 296s    
step 00039 (1.2%) | loss: 5.719850 | lrm: 1.00 | dt: 133ms | tok/sec: 246,682 | mfu: 3.0% | epoch: 1 | remaining: 296s    
step 00040 (1.3%) | loss: 5.705844 | lrm: 1.00 | dt: 133ms | tok/sec: 246,839 | mfu: 3.0% | epoch: 1 | remaining: 296s    
step 00041 (1.3%) | loss: 5.687796 | lrm: 1.00 | dt: 133ms | tok/sec: 246,893 | mfu: 3.0% | epoch: 1 | remaining: 296s    
step 00042 (1.4%) | loss: 5.674734 | lrm: 1.00 | dt: 133ms | tok/sec: 246,885 | mfu: 3.0% | epoch: 1 | remaining: 296s    
step 00043 (1.4%) | loss: 5.652862 | lrm: 1.00 | dt: 133ms | tok/sec: 247,142 | mfu: 3.0% | epoch: 1 | remaining: 296s    
step 00044 (1.5%) | loss: 5.632044 | lrm: 1.00 | dt: 133ms | tok/sec: 247,102 | mfu: 3.0% | epoch: 1 | remaining: 295s    
step 00045 (1.5%) | loss: 5.616399 | lrm: 1.00 | dt: 133ms | tok/sec: 246,979 | mfu: 3.0% | epoch: 1 | remaining: 295s    
step 00046 (1.5%) | loss: 5.590407 | lrm: 1.00 | dt: 132ms | tok/sec: 247,644 | mfu: 3.0% | epoch: 1 | remaining: 295s    
step 00047 (1.6%) | loss: 5.575206 | lrm: 1.00 | dt: 133ms | tok/sec: 247,241 | mfu: 3.0% | epoch: 1 | remaining: 295s    
step 00048 (1.6%) | loss: 5.561587 | lrm: 1.00 | dt: 133ms | tok/sec: 246,526 | mfu: 3.0% | epoch: 1 | remaining: 295s    
step 00049 (1.7%) | loss: 5.553102 | lrm: 1.00 | dt: 132ms | tok/sec: 247,328 | mfu: 3.0% | epoch: 1 | remaining: 295s    
step 00050 (1.7%) | loss: 5.535607 | lrm: 1.00 | dt: 133ms | tok/sec: 246,944 | mfu: 3.0% | epoch: 1 | remaining: 295s    
step 00051 (1.8%) | loss: 5.529502 | lrm: 1.00 | dt: 133ms | tok/sec: 246,965 | mfu: 3.0% | epoch: 1 | remaining: 295s    
step 00052 (1.8%) | loss: 5.519540 | lrm: 1.00 | dt: 133ms | tok/sec: 247,029 | mfu: 3.0% | epoch: 1 | remaining: 294s    
step 00053 (1.9%) | loss: 5.505267 | lrm: 1.00 | dt: 132ms | tok/sec: 247,368 | mfu: 3.0% | epoch: 1 | remaining: 294s    
step 00054 (1.9%) | loss: 5.489087 | lrm: 1.00 | dt: 133ms | tok/sec: 246,980 | mfu: 3.0% | epoch: 1 | remaining: 294s    
step 00055 (1.9%) | loss: 5.478660 | lrm: 1.00 | dt: 133ms | tok/sec: 247,176 | mfu: 3.0% | epoch: 1 | remaining: 294s    
step 00056 (2.0%) | loss: 5.463787 | lrm: 1.00 | dt: 133ms | tok/sec: 246,621 | mfu: 3.0% | epoch: 1 | remaining: 294s    
step 00057 (2.0%) | loss: 5.445154 | lrm: 1.00 | dt: 132ms | tok/sec: 247,781 | mfu: 3.0% | epoch: 1 | remaining: 294s    
step 00058 (2.1%) | loss: 5.441578 | lrm: 1.00 | dt: 133ms | tok/sec: 247,078 | mfu: 3.0% | epoch: 1 | remaining: 294s    
step 00059 (2.1%) | loss: 5.417566 | lrm: 1.00 | dt: 133ms | tok/sec: 246,988 | mfu: 3.0% | epoch: 1 | remaining: 293s    
step 00060 (2.2%) | loss: 5.410076 | lrm: 1.00 | dt: 132ms | tok/sec: 247,605 | mfu: 3.0% | epoch: 1 | remaining: 293s    
step 00061 (2.2%) | loss: 5.402217 | lrm: 1.00 | dt: 133ms | tok/sec: 246,884 | mfu: 3.0% | epoch: 1 | remaining: 293s    
step 00062 (2.3%) | loss: 5.390559 | lrm: 1.00 | dt: 133ms | tok/sec: 247,159 | mfu: 3.0% | epoch: 1 | remaining: 293s    
step 00063 (2.3%) | loss: 5.382205 | lrm: 1.00 | dt: 133ms | tok/sec: 246,846 | mfu: 3.0% | epoch: 1 | remaining: 293s    
step 00064 (2.3%) | loss: 5.367630 | lrm: 1.00 | dt: 133ms | tok/sec: 246,691 | mfu: 3.0% | epoch: 1 | remaining: 293s    
step 00065 (2.4%) | loss: 5.369434 | lrm: 1.00 | dt: 133ms | tok/sec: 247,067 | mfu: 3.0% | epoch: 1 | remaining: 293s    
step 00066 (2.4%) | loss: 5.358978 | lrm: 1.00 | dt: 133ms | tok/sec: 247,108 | mfu: 3.0% | epoch: 1 | remaining: 293s    
step 00067 (2.5%) | loss: 5.353443 | lrm: 1.00 | dt: 133ms | tok/sec: 246,963 | mfu: 3.0% | epoch: 1 | remaining: 292s    
step 00068 (2.5%) | loss: 5.334325 | lrm: 1.00 | dt: 132ms | tok/sec: 247,406 | mfu: 3.0% | epoch: 1 | remaining: 292s    
step 00069 (2.6%) | loss: 5.325130 | lrm: 1.00 | dt: 133ms | tok/sec: 247,139 | mfu: 3.0% | epoch: 1 | remaining: 292s    
step 00070 (2.6%) | loss: 5.315776 | lrm: 1.00 | dt: 133ms | tok/sec: 247,007 | mfu: 3.0% | epoch: 1 | remaining: 292s    
step 00071 (2.7%) | loss: 5.297624 | lrm: 1.00 | dt: 132ms | tok/sec: 247,747 | mfu: 3.0% | epoch: 1 | remaining: 292s    
step 00072 (2.7%) | loss: 5.290657 | lrm: 1.00 | dt: 133ms | tok/sec: 247,156 | mfu: 3.0% | epoch: 1 | remaining: 292s    
step 00073 (2.7%) | loss: 5.275479 | lrm: 1.00 | dt: 133ms | tok/sec: 246,925 | mfu: 3.0% | epoch: 1 | remaining: 292s    
step 00074 (2.8%) | loss: 5.261644 | lrm: 1.00 | dt: 133ms | tok/sec: 246,809 | mfu: 3.0% | epoch: 1 | remaining: 292s    
step 00075 (2.8%) | loss: 5.250592 | lrm: 1.00 | dt: 132ms | tok/sec: 247,368 | mfu: 3.0% | epoch: 1 | remaining: 291s    
step 00076 (2.9%) | loss: 5.252713 | lrm: 1.00 | dt: 133ms | tok/sec: 247,054 | mfu: 3.0% | epoch: 1 | remaining: 291s    
step 00077 (2.9%) | loss: 5.235148 | lrm: 1.00 | dt: 132ms | tok/sec: 247,494 | mfu: 3.0% | epoch: 1 | remaining: 291s    
step 00078 (3.0%) | loss: 5.220057 | lrm: 1.00 | dt: 133ms | tok/sec: 247,122 | mfu: 3.0% | epoch: 1 | remaining: 291s    
step 00079 (3.0%) | loss: 5.201953 | lrm: 1.00 | dt: 132ms | tok/sec: 247,476 | mfu: 3.0% | epoch: 1 | remaining: 291s    
step 00080 (3.1%) | loss: 5.202333 | lrm: 1.00 | dt: 132ms | tok/sec: 248,037 | mfu: 3.0% | epoch: 1 | remaining: 291s    
step 00081 (3.1%) | loss: 5.193595 | lrm: 1.00 | dt: 132ms | tok/sec: 248,448 | mfu: 3.0% | epoch: 1 | remaining: 291s    
step 00082 (3.1%) | loss: 5.180857 | lrm: 1.00 | dt: 131ms | tok/sec: 249,308 | mfu: 3.0% | epoch: 1 | remaining: 290s    
step 00083 (3.2%) | loss: 5.178219 | lrm: 1.00 | dt: 132ms | tok/sec: 248,879 | mfu: 3.0% | epoch: 1 | remaining: 290s    
step 00084 (3.2%) | loss: 5.163721 | lrm: 1.00 | dt: 132ms | tok/sec: 248,874 | mfu: 3.0% | epoch: 1 | remaining: 290s    
step 00085 (3.3%) | loss: 5.161090 | lrm: 1.00 | dt: 132ms | tok/sec: 248,966 | mfu: 3.0% | epoch: 1 | remaining: 290s    
step 00086 (3.3%) | loss: 5.147509 | lrm: 1.00 | dt: 132ms | tok/sec: 249,180 | mfu: 3.0% | epoch: 1 | remaining: 290s    
step 00087 (3.4%) | loss: 5.149517 | lrm: 1.00 | dt: 132ms | tok/sec: 249,017 | mfu: 3.0% | epoch: 1 | remaining: 290s    
step 00088 (3.4%) | loss: 5.136422 | lrm: 1.00 | dt: 132ms | tok/sec: 248,961 | mfu: 3.0% | epoch: 1 | remaining: 290s    
step 00089 (3.4%) | loss: 5.135023 | lrm: 1.00 | dt: 132ms | tok/sec: 248,837 | mfu: 3.0% | epoch: 1 | remaining: 290s    
step 00090 (3.5%) | loss: 5.123784 | lrm: 1.00 | dt: 132ms | tok/sec: 248,930 | mfu: 3.0% | epoch: 1 | remaining: 289s    
step 00091 (3.5%) | loss: 5.109585 | lrm: 1.00 | dt: 132ms | tok/sec: 248,889 | mfu: 3.0% | epoch: 1 | remaining: 289s    
step 00092 (3.6%) | loss: 5.105406 | lrm: 1.00 | dt: 131ms | tok/sec: 249,270 | mfu: 3.0% | epoch: 1 | remaining: 289s    
step 00093 (3.6%) | loss: 5.098861 | lrm: 1.00 | dt: 132ms | tok/sec: 249,077 | mfu: 3.0% | epoch: 1 | remaining: 289s    
step 00094 (3.7%) | loss: 5.080461 | lrm: 1.00 | dt: 131ms | tok/sec: 249,451 | mfu: 3.0% | epoch: 1 | remaining: 289s    
step 00095 (3.7%) | loss: 5.070184 | lrm: 1.00 | dt: 132ms | tok/sec: 249,044 | mfu: 3.0% | epoch: 1 | remaining: 289s    
step 00096 (3.8%) | loss: 5.066007 | lrm: 1.00 | dt: 132ms | tok/sec: 249,135 | mfu: 3.0% | epoch: 1 | remaining: 289s    
step 00097 (3.8%) | loss: 5.044931 | lrm: 1.00 | dt: 132ms | tok/sec: 249,073 | mfu: 3.0% | epoch: 1 | remaining: 288s    
step 00098 (3.8%) | loss: 5.044321 | lrm: 1.00 | dt: 132ms | tok/sec: 249,163 | mfu: 3.0% | epoch: 1 | remaining: 288s    
step 00099 (3.9%) | loss: 5.031936 | lrm: 1.00 | dt: 131ms | tok/sec: 249,245 | mfu: 3.0% | epoch: 1 | remaining: 288s    
step 00100 (3.9%) | loss: 5.012446 | lrm: 1.00 | dt: 132ms | tok/sec: 248,721 | mfu: 3.0% | epoch: 1 | remaining: 288s    
step 00101 (4.0%) | loss: 4.999254 | lrm: 1.00 | dt: 132ms | tok/sec: 248,874 | mfu: 3.0% | epoch: 1 | remaining: 288s    
step 00102 (4.0%) | loss: 4.980574 | lrm: 1.00 | dt: 132ms | tok/sec: 248,915 | mfu: 3.0% | epoch: 1 | remaining: 288s    
step 00103 (4.1%) | loss: 4.964198 | lrm: 1.00 | dt: 132ms | tok/sec: 248,744 | mfu: 3.0% | epoch: 1 | remaining: 288s    
step 00104 (4.1%) | loss: 4.957407 | lrm: 1.00 | dt: 131ms | tok/sec: 249,234 | mfu: 3.0% | epoch: 1 | remaining: 288s    
step 00105 (4.1%) | loss: 4.952255 | lrm: 1.00 | dt: 132ms | tok/sec: 248,913 | mfu: 3.0% | epoch: 1 | remaining: 287s    
step 00106 (4.2%) | loss: 4.944474 | lrm: 1.00 | dt: 132ms | tok/sec: 248,869 | mfu: 3.0% | epoch: 1 | remaining: 287s    
step 00107 (4.2%) | loss: 4.931792 | lrm: 1.00 | dt: 132ms | tok/sec: 248,744 | mfu: 3.0% | epoch: 1 | remaining: 287s    
step 00108 (4.3%) | loss: 4.920830 | lrm: 1.00 | dt: 132ms | tok/sec: 248,994 | mfu: 3.0% | epoch: 1 | remaining: 287s    
step 00109 (4.3%) | loss: 4.920858 | lrm: 1.00 | dt: 131ms | tok/sec: 249,306 | mfu: 3.0% | epoch: 1 | remaining: 287s    
step 00110 (4.4%) | loss: 4.921735 | lrm: 1.00 | dt: 132ms | tok/sec: 248,653 | mfu: 3.0% | epoch: 1 | remaining: 287s    
step 00111 (4.4%) | loss: 4.907628 | lrm: 1.00 | dt: 131ms | tok/sec: 249,259 | mfu: 3.0% | epoch: 1 | remaining: 287s    
step 00112 (4.5%) | loss: 4.905803 | lrm: 1.00 | dt: 132ms | tok/sec: 248,888 | mfu: 3.0% | epoch: 1 | remaining: 287s    
step 00113 (4.5%) | loss: 4.906281 | lrm: 1.00 | dt: 132ms | tok/sec: 249,092 | mfu: 3.0% | epoch: 1 | remaining: 286s    
step 00114 (4.5%) | loss: 4.895312 | lrm: 1.00 | dt: 131ms | tok/sec: 249,389 | mfu: 3.0% | epoch: 1 | remaining: 286s    
step 00115 (4.6%) | loss: 4.882319 | lrm: 1.00 | dt: 132ms | tok/sec: 248,939 | mfu: 3.0% | epoch: 1 | remaining: 286s    
step 00116 (4.6%) | loss: 4.861357 | lrm: 1.00 | dt: 132ms | tok/sec: 248,870 | mfu: 3.0% | epoch: 1 | remaining: 286s    
step 00117 (4.7%) | loss: 4.853171 | lrm: 1.00 | dt: 131ms | tok/sec: 249,195 | mfu: 3.0% | epoch: 1 | remaining: 286s    
step 00118 (4.7%) | loss: 4.838259 | lrm: 1.00 | dt: 132ms | tok/sec: 248,949 | mfu: 3.0% | epoch: 1 | remaining: 286s    
step 00119 (4.8%) | loss: 4.830087 | lrm: 1.00 | dt: 131ms | tok/sec: 249,336 | mfu: 3.0% | epoch: 1 | remaining: 286s    
step 00120 (4.8%) | loss: 4.816018 | lrm: 1.00 | dt: 132ms | tok/sec: 248,995 | mfu: 3.0% | epoch: 1 | remaining: 285s    
step 00121 (4.8%) | loss: 4.809546 | lrm: 1.00 | dt: 132ms | tok/sec: 248,843 | mfu: 3.0% | epoch: 1 | remaining: 285s    
step 00122 (4.9%) | loss: 4.800363 | lrm: 1.00 | dt: 132ms | tok/sec: 248,920 | mfu: 3.0% | epoch: 1 | remaining: 285s    
step 00123 (4.9%) | loss: 4.791730 | lrm: 1.00 | dt: 132ms | tok/sec: 248,663 | mfu: 3.0% | epoch: 1 | remaining: 285s    
step 00124 (5.0%) | loss: 4.776473 | lrm: 1.00 | dt: 131ms | tok/sec: 249,296 | mfu: 3.0% | epoch: 1 | remaining: 285s    
step 00125 (5.0%) | loss: 4.767603 | lrm: 1.00 | dt: 132ms | tok/sec: 249,126 | mfu: 3.0% | epoch: 1 | remaining: 285s    
step 00126 (5.1%) | loss: 4.753960 | lrm: 1.00 | dt: 132ms | tok/sec: 248,947 | mfu: 3.0% | epoch: 1 | remaining: 285s    
step 00127 (5.1%) | loss: 4.747891 | lrm: 1.00 | dt: 132ms | tok/sec: 249,117 | mfu: 3.0% | epoch: 1 | remaining: 285s    
step 00128 (5.2%) | loss: 4.736001 | lrm: 1.00 | dt: 132ms | tok/sec: 248,919 | mfu: 3.0% | epoch: 1 | remaining: 284s    
step 00129 (5.2%) | loss: 4.722845 | lrm: 1.00 | dt: 131ms | tok/sec: 249,298 | mfu: 3.0% | epoch: 1 | remaining: 284s    
step 00130 (5.2%) | loss: 4.718227 | lrm: 1.00 | dt: 132ms | tok/sec: 249,126 | mfu: 3.0% | epoch: 1 | remaining: 284s    
step 00131 (5.3%) | loss: 4.697844 | lrm: 1.00 | dt: 132ms | tok/sec: 249,084 | mfu: 3.0% | epoch: 1 | remaining: 284s    
step 00132 (5.3%) | loss: 4.682533 | lrm: 1.00 | dt: 132ms | tok/sec: 248,859 | mfu: 3.0% | epoch: 1 | remaining: 284s    
step 00133 (5.4%) | loss: 4.670879 | lrm: 1.00 | dt: 132ms | tok/sec: 248,759 | mfu: 3.0% | epoch: 1 | remaining: 284s    
step 00134 (5.4%) | loss: 4.669466 | lrm: 1.00 | dt: 132ms | tok/sec: 248,902 | mfu: 3.0% | epoch: 1 | remaining: 284s    
step 00135 (5.5%) | loss: 4.664559 | lrm: 1.00 | dt: 132ms | tok/sec: 248,612 | mfu: 3.0% | epoch: 1 | remaining: 283s    
step 00136 (5.5%) | loss: 4.666252 | lrm: 1.00 | dt: 131ms | tok/sec: 249,341 | mfu: 3.0% | epoch: 1 | remaining: 283s    
step 00137 (5.6%) | loss: 4.657205 | lrm: 1.00 | dt: 131ms | tok/sec: 249,192 | mfu: 3.0% | epoch: 1 | remaining: 283s    
step 00138 (5.6%) | loss: 4.640933 | lrm: 1.00 | dt: 132ms | tok/sec: 248,761 | mfu: 3.0% | epoch: 1 | remaining: 283s    
step 00139 (5.6%) | loss: 4.616675 | lrm: 1.00 | dt: 132ms | tok/sec: 249,049 | mfu: 3.0% | epoch: 1 | remaining: 283s    
step 00140 (5.7%) | loss: 4.602168 | lrm: 1.00 | dt: 132ms | tok/sec: 248,937 | mfu: 3.0% | epoch: 1 | remaining: 283s    
step 00141 (5.7%) | loss: 4.587762 | lrm: 1.00 | dt: 131ms | tok/sec: 249,235 | mfu: 3.0% | epoch: 1 | remaining: 283s    
step 00142 (5.8%) | loss: 4.588907 | lrm: 1.00 | dt: 132ms | tok/sec: 248,996 | mfu: 3.0% | epoch: 1 | remaining: 283s    
step 00143 (5.8%) | loss: 4.582002 | lrm: 1.00 | dt: 131ms | tok/sec: 249,213 | mfu: 3.0% | epoch: 1 | remaining: 282s    
step 00144 (5.9%) | loss: 4.580688 | lrm: 1.00 | dt: 132ms | tok/sec: 248,820 | mfu: 3.0% | epoch: 1 | remaining: 282s    
step 00145 (5.9%) | loss: 4.573260 | lrm: 1.00 | dt: 132ms | tok/sec: 248,305 | mfu: 3.0% | epoch: 1 | remaining: 282s    
step 00146 (5.9%) | loss: 4.570512 | lrm: 1.00 | dt: 132ms | tok/sec: 248,814 | mfu: 3.0% | epoch: 1 | remaining: 282s    
step 00147 (6.0%) | loss: 4.561613 | lrm: 1.00 | dt: 132ms | tok/sec: 248,917 | mfu: 3.0% | epoch: 1 | remaining: 282s    
step 00148 (6.0%) | loss: 4.543170 | lrm: 1.00 | dt: 131ms | tok/sec: 249,335 | mfu: 3.0% | epoch: 1 | remaining: 282s    
step 00149 (6.1%) | loss: 4.537029 | lrm: 1.00 | dt: 132ms | tok/sec: 248,886 | mfu: 3.0% | epoch: 1 | remaining: 282s    
step 00150 (6.1%) | loss: 4.518604 | lrm: 1.00 | dt: 132ms | tok/sec: 248,359 | mfu: 3.0% | epoch: 1 | remaining: 282s    
step 00151 (6.2%) | loss: 4.507630 | lrm: 1.00 | dt: 132ms | tok/sec: 248,766 | mfu: 3.0% | epoch: 1 | remaining: 281s    
step 00152 (6.2%) | loss: 4.498466 | lrm: 1.00 | dt: 132ms | tok/sec: 248,958 | mfu: 3.0% | epoch: 1 | remaining: 281s    
step 00153 (6.3%) | loss: 4.493439 | lrm: 1.00 | dt: 131ms | tok/sec: 249,455 | mfu: 3.0% | epoch: 1 | remaining: 281s    
step 00154 (6.3%) | loss: 4.483434 | lrm: 1.00 | dt: 132ms | tok/sec: 248,524 | mfu: 3.0% | epoch: 1 | remaining: 281s    
step 00155 (6.3%) | loss: 4.480497 | lrm: 1.00 | dt: 132ms | tok/sec: 248,590 | mfu: 3.0% | epoch: 1 | remaining: 281s    
